text,opinion,source,target,expression,polarity
"По его словам, президент, полномочия которого истекают через год, стремится помочь своим людям занять достойное место в чиновничьей иерархии - так же, как помог ранее экс-главе МВД по Башкирии Рафаилу Диваеву, которого после отставки из федерального министерства в республике назначили вице-премьером.","{'Source': [['президент'], ['15:24']], 'Target': [['своим людям'], ['83:94']], 'Polar_expression': [['помочь своим людям занять достойное место в чиновничьей иерархии'], ['76:140']], 'Polarity': 'POS'}",президент,своим людям,помочь своим людям занять достойное место в чиновничьей иерархии,POS
Марио Монти подаст в отставку с должности премьер-министра Италии,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
Фото: Reuters Фото: Reuters Фото: Reuters,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Отметим, что ранее входившая в парламентскую коалицию партия ""Народ свободы"" отказала Монти в поддержке.","{'Source': [['Народ свободы'], ['62:75']], 'Target': [['Монти'], ['86:91']], 'Polar_expression': [['отказала'], ['77:85']], 'Polarity': 'NEG'}",Народ свободы,Монти,отказала,NEG
"В случае если бюджет будет принят ""быстро"", Монти готов немедленно сложить с себя полномочия.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Примечательно, что Президент имеет полномочия объявить о роспуске парламента и проведении досрочных выборов.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Несмотря на то, что такой вариант является маловероятным, итальянские политологи рассматривают его в качестве возможного исхода ситуации.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Политологи заключили, что теперь Берлускони обрушится с жесткой критикой на действующий кабинет министров, проводящий политику жесткой экономии.","{'Source': [['Берлускони'], ['33:43']], 'Target': [['кабинет министров'], ['88:105']], 'Polar_expression': [['жесткой критикой'], ['56:72']], 'Polarity': 'NEG'}",Берлускони,кабинет министров,жесткой критикой,NEG
Читайте также: Берлускони намерен в 2013 г. снова баллотироваться на пост премьер-министра Италии,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Берлускони ушел в отставку немногим более года назад, после чего в стране с согласия парламентского большинства было составлено правительство технократов, которому было поручено проводить непопулярную экономическую политику.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['правительство технократов'], ['128:153']], 'Polar_expression': [['непопулярную экономическую политику'], ['188:223']], 'Polarity': 'NEG'}",AUTHOR,правительство технократов,непопулярную экономическую политику,NEG
"Как сообщалось, 26 октября с.г. суд приговорил Берлускони к году тюрьмы с учетом закона об амнистии.","{'Source': [['суд'], ['32:35']], 'Target': [['Берлускони'], ['47:57']], 'Polar_expression': [['приговорил'], ['36:46']], 'Polarity': 'NEG'}",суд,Берлускони,приговорил,NEG
"Отмечается, что документ был принят в 2006 г., и в соответствии с ним срок тюремного заключения бывшего итальянского премьера уменьшен с четырех лет до одного года.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Речь идет о скандальном деле Mediaset, в рамках которого Берлускони обвинялся в масштабных финансовых махинациях.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Mediaset'], ['29:37']], 'Polar_expression': [['скандальном'], ['12:23']], 'Polarity': 'NEG'}",AUTHOR,Mediaset,скандальном,NEG
"Речь идет о скандальном деле Mediaset, в рамках которого Берлускони обвинялся в масштабных финансовых махинациях.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Берлускони'], ['57:67']], 'Polar_expression': [['скандальном'], ['12:23']], 'Polarity': 'NEG'}",AUTHOR,Берлускони,скандальном,NEG
"Речь идет о скандальном деле Mediaset, в рамках которого Берлускони обвинялся в масштабных финансовых махинациях.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Берлускони'], ['57:67']], 'Polar_expression': [['финансовых махинациях'], ['91:112']], 'Polarity': 'NEG'}",AUTHOR,Берлускони,финансовых махинациях,NEG
"Речь идет о скандальном деле Mediaset, в рамках которого Берлускони обвинялся в масштабных финансовых махинациях.","{'Source': [['NULL'], ['0:0']], 'Target': [['Берлускони'], ['57:67']], 'Polar_expression': [['обвинялся'], ['68:77']], 'Polarity': 'NEG'}",NULL,Берлускони,обвинялся,NEG
"Берлускони также отрицает обвинения в сексе с несовершеннолетней проституткой, известной под прозвищем ""Руби"".","{'Source': [['NULL'], ['0:0']], 'Target': [['Берлускони'], ['0:10']], 'Polar_expression': [['сексе с несовершеннолетней'], ['38:64']], 'Polarity': 'NEG'}",NULL,Берлускони,сексе с несовершеннолетней,NEG
"Берлускони также отрицает обвинения в сексе с несовершеннолетней проституткой, известной под прозвищем ""Руби"".","{'Source': [['NULL'], ['0:0']], 'Target': [['Берлускони'], ['0:10']], 'Polar_expression': [['обвинения'], ['26:35']], 'Polarity': 'NEG'}",NULL,Берлускони,обвинения,NEG
Читайте также: Адвокаты Берлускони обжалуют приговор экс-премьеру,"{'Source': [['NULL'], ['0:0']], 'Target': [['Берлускони'], ['24:34']], 'Polar_expression': [['приговор'], ['44:52']], 'Polarity': 'NEG'}",NULL,Берлускони,приговор,NEG
Читайте также: Адвокаты Берлускони обжалуют приговор экс-премьеру,"{'Source': [['NULL'], ['0:0']], 'Target': [['премьеру'], ['57:65']], 'Polar_expression': [['приговор'], ['44:52']], 'Polarity': 'NEG'}",NULL,премьеру,приговор,NEG
"Отметим также, действующий секретарь левоцентристской Демократической партии Италии Пьер Луиджи Берсани станет кандидатом на пост премьер-министра страны.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"На выборах Берсани обошел мэра Флоренции Маттео Ренци, считающегося одним из наиболее заметных политиков ""новой волны"" в Италии.","{'Source': [['Италии'], ['121:127']], 'Target': [['Берсани'], ['11:18']], 'Polar_expression': [['обошел мэра Флоренции'], ['19:40']], 'Polarity': 'POS'}",Италии,Берсани,обошел мэра Флоренции,POS
"На выборах Берсани обошел мэра Флоренции Маттео Ренци, считающегося одним из наиболее заметных политиков ""новой волны"" в Италии.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Маттео Ренци'], ['41:53']], 'Polar_expression': [['заметных'], ['86:94']], 'Polarity': 'POS'}",AUTHOR,Маттео Ренци,заметных,POS
"Демократическая партия, созданная на основе коалиции ""Оливковое дерево"" бывшего премьер-министра страны Романо Проди и включающая в себя партии ""Левые демократы"" и ""Маргерита"", занимает 217 мест в 630-местном парламенте Италии и является одной из главных оппозиционных сил страны.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Демократическая партия'], ['0:22']], 'Polar_expression': [['главных оппозиционных сил страны'], ['247:279']], 'Polarity': 'POS'}",AUTHOR,Демократическая партия,главных оппозиционных сил страны,POS
По теме: В Италии тысячи людей выступили против мер бюджетной экономии правительства,"{'Source': [['AUTHOR'], ['NULL']], 'Target': [['правительства'], ['71:84']], 'Polar_expression': [['тысячи людей выступили против мер бюджетной экономии'], ['18:70']], 'Polarity': 'NEG'}",AUTHOR,правительства,тысячи людей выступили против мер бюджетной экономии,NEG
"Итальянский политик, лидер партии ""Народ свободы"" и крупный бизнесмен, чей холдинг Fininvest владеет разнородными активами - от медиа и строительного бизнеса до футбольного клуба Milan (всего около 150 компаний) трижды избирался на пост главы правительства (абсолютный рекорд для Италии): возглавлял правительство Италии в 1994 г., в 2001-2006 гг. и в 2008-2011 г. В ноябре 2011 г., потеряв большинство в парламенте страны, добровольно ушел в отставку.","{'Source': [['NULL'], ['0:0']], 'Target': [['бизнесмен'], ['60:69']], 'Polar_expression': [['крупный'], ['52:59']], 'Polarity': 'POS'}",NULL,бизнесмен,крупный,POS
"Итальянский политик, лидер партии ""Народ свободы"" и крупный бизнесмен, чей холдинг Fininvest владеет разнородными активами - от медиа и строительного бизнеса до футбольного клуба Milan (всего около 150 компаний) трижды избирался на пост главы правительства (абсолютный рекорд для Италии): возглавлял правительство Италии в 1994 г., в 2001-2006 гг. и в 2008-2011 г. В ноябре 2011 г., потеряв большинство в парламенте страны, добровольно ушел в отставку.","{'Source': [['NULL'], ['0:0']], 'Target': [['политик'], ['12:19']], 'Polar_expression': [['трижды избирался на пост главы правительства'], ['212:256']], 'Polarity': 'POS'}",NULL,политик,трижды избирался на пост главы правительства,POS
"По данным журнала Forbes, в марте 2011 г. состояние Берлускони оценивалось в 7,8 млрд долл.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Скандально известная фигура в стране - Берлускони многократно обвинялся в финансовых аферах, коррупции, даче взяток госчиновникам, участии в сексуальных скандалах, привлекался к суду.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Берлускони'], ['39:49']], 'Polar_expression': [['Скандально известная'], ['0:20']], 'Polarity': 'NEG'}",AUTHOR,Берлускони,Скандально известная,NEG
"Скандально известная фигура в стране - Берлускони многократно обвинялся в финансовых аферах, коррупции, даче взяток госчиновникам, участии в сексуальных скандалах, привлекался к суду.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Берлускони'], ['39:49']], 'Polar_expression': [['финансовых аферах'], ['74:91']], 'Polarity': 'NEG'}",AUTHOR,Берлускони,финансовых аферах,NEG
"Скандально известная фигура в стране - Берлускони многократно обвинялся в финансовых аферах, коррупции, даче взяток госчиновникам, участии в сексуальных скандалах, привлекался к суду.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Берлускони'], ['39:49']], 'Polar_expression': [['коррупции'], ['93:102']], 'Polarity': 'NEG'}",AUTHOR,Берлускони,коррупции,NEG
"Скандально известная фигура в стране - Берлускони многократно обвинялся в финансовых аферах, коррупции, даче взяток госчиновникам, участии в сексуальных скандалах, привлекался к суду.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Берлускони'], ['39:49']], 'Polar_expression': [['даче взяток'], ['104:115']], 'Polarity': 'NEG'}",AUTHOR,Берлускони,даче взяток,NEG
"Скандально известная фигура в стране - Берлускони многократно обвинялся в финансовых аферах, коррупции, даче взяток госчиновникам, участии в сексуальных скандалах, привлекался к суду.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Берлускони'], ['39:49']], 'Polar_expression': [['участии в сексуальных скандалах'], ['131:162']], 'Polarity': 'NEG'}",AUTHOR,Берлускони,участии в сексуальных скандалах,NEG
"Скандально известная фигура в стране - Берлускони многократно обвинялся в финансовых аферах, коррупции, даче взяток госчиновникам, участии в сексуальных скандалах, привлекался к суду.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['Берлускони'], ['39:49']], 'Polar_expression': [['привлекался к суду'], ['164:182']], 'Polarity': 'NEG'}",AUTHOR,Берлускони,привлекался к суду,NEG
"Скандально известная фигура в стране - Берлускони многократно обвинялся в финансовых аферах, коррупции, даче взяток госчиновникам, участии в сексуальных скандалах, привлекался к суду.","{'Source': [['NULL'], ['0:0']], 'Target': [['Берлускони'], ['39:49']], 'Polar_expression': [['обвинялся'], ['62:71']], 'Polarity': 'NEG'}",NULL,Берлускони,обвинялся,NEG
"Часть инициированных против него уголовных процессов закончились тюремными сроками, которые, впрочем, предприимчивый политик ни разу не отсидел.","{'Source': [['NULL'], ['0:0']], 'Target': [['политик'], ['117:124']], 'Polar_expression': [['уголовных процессов'], ['33:52']], 'Polarity': 'NEG'}",NULL,политик,уголовных процессов,NEG
"Часть инициированных против него уголовных процессов закончились тюремными сроками, которые, впрочем, предприимчивый политик ни разу не отсидел.","{'Source': [['NULL'], ['0:0']], 'Target': [['политик'], ['117:124']], 'Polar_expression': [['тюремными сроками'], ['65:82']], 'Polarity': 'NEG'}",NULL,политик,тюремными сроками,NEG
Нургалиев уволил начальника УВД Томской области,"{'Source': [['Нургалиев'], ['0:9']], 'Target': [['начальника УВД Томской области'], ['17:47']], 'Polar_expression': [['уволил'], ['10:16']], 'Polarity': 'NEG'}",Нургалиев,начальника УВД Томской области,уволил,NEG
Начальник УВД Томской области Виктор Гречман освобожден от занимаемой должности.,"{'Source': [['NULL'], ['0:0']], 'Target': [['Виктор Гречман'], ['30:44']], 'Polar_expression': [['освобожден от занимаемой должности'], ['45:79']], 'Polarity': 'NEG'}",NULL,Виктор Гречман,освобожден от занимаемой должности,NEG
"Как сообщает ""Интерфакс"" со ссылкой на пресс-службу МВД, это решение принял глава ведомства Рашид Нургалиев по поручению президента РФ Дмитрия Медведева.","{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
"Отставки Гречмана потребовали томские журналисты после жестокого избиения их коллеги Константина Попова, совершенного милиционером.","{'Source': [['журналисты'], ['38:48']], 'Target': [['Гречмана'], ['9:17']], 'Polar_expression': [['Отставки'], ['0:8']], 'Polarity': 'NEG'}",журналисты,Гречмана,Отставки,NEG
"Отставки Гречмана потребовали томские журналисты после жестокого избиения их коллеги Константина Попова, совершенного милиционером.","{'Source': [['милиционером'], ['118:130']], 'Target': [['Константина Попова'], ['85:103']], 'Polar_expression': [['жестокого избиения'], ['55:73']], 'Polarity': 'NEG'}",милиционером,Константина Попова,жестокого избиения,NEG
"Отставки Гречмана потребовали томские журналисты после жестокого избиения их коллеги Константина Попова, совершенного милиционером.","{'Source': [['AUTHOR'], ['NULL']], 'Target': [['милиционером'], ['118:130']], 'Polar_expression': [['жестокого избиения'], ['55:73']], 'Polarity': 'NEG'}",AUTHOR,милиционером,жестокого избиения,NEG
"В начале 2010 года 47-летнего журналиста забрали в вытрезвитель, где его избил 26-летний Алексей Митаев.","{'Source': [['Алексей Митаев'], ['89:103']], 'Target': [['журналиста'], ['30:40']], 'Polar_expression': [['избил'], ['73:78']], 'Polarity': 'NEG'}",Алексей Митаев,журналиста,избил,NEG
"Он дал признательные показания и объяснил избиение журналиста глубоким стрессом, вызванного сложной семейной ситуацией.","{'Source': [['NULL'], ['0:0']], 'Target': [['журналиста'], ['51:61']], 'Polar_expression': [['избиение'], ['42:50']], 'Polarity': 'NEG'}",NULL,журналиста,избиение,NEG
"Ранее Митаеву были предъявлены обвинения в умышленном причинении тяжкого вреда здоровью и превышении должностных полномочий, но в с связи со смертью потерпевшего, он может быть обвинен в совершении еще более тяжкого преступления.","{'Source': [['NULL'], ['0:0']], 'Target': [['Митаеву'], ['6:13']], 'Polar_expression': [['умышленном причинении тяжкого вреда здоровью'], ['43:87']], 'Polarity': 'NEG'}",NULL,Митаеву,умышленном причинении тяжкого вреда здоровью,NEG
"Ранее Митаеву были предъявлены обвинения в умышленном причинении тяжкого вреда здоровью и превышении должностных полномочий, но в с связи со смертью потерпевшего, он может быть обвинен в совершении еще более тяжкого преступления.","{'Source': [['NULL'], ['0:0']], 'Target': [['Митаеву'], ['6:13']], 'Polar_expression': [['превышении должностных полномочий'], ['90:123']], 'Polarity': 'NEG'}",NULL,Митаеву,превышении должностных полномочий,NEG
"Ранее Митаеву были предъявлены обвинения в умышленном причинении тяжкого вреда здоровью и превышении должностных полномочий, но в с связи со смертью потерпевшего, он может быть обвинен в совершении еще более тяжкого преступления.","{'Source': [['NULL'], ['0:0']], 'Target': [['Митаеву'], ['6:13']], 'Polar_expression': [['тяжкого преступления'], ['208:228']], 'Polarity': 'NEG'}",NULL,Митаеву,тяжкого преступления,NEG
"Ранее Митаеву были предъявлены обвинения в умышленном причинении тяжкого вреда здоровью и превышении должностных полномочий, но в с связи со смертью потерпевшего, он может быть обвинен в совершении еще более тяжкого преступления.","{'Source': [['NULL'], ['0:0']], 'Target': [['Митаеву'], ['6:13']], 'Polar_expression': [['обвинения'], ['31:40']], 'Polarity': 'NEG'}",NULL,Митаеву,обвинения,NEG
"Ранее Митаеву были предъявлены обвинения в умышленном причинении тяжкого вреда здоровью и превышении должностных полномочий, но в с связи со смертью потерпевшего, он может быть обвинен в совершении еще более тяжкого преступления.","{'Source': [['NULL'], ['0:0']], 'Target': [['Митаеву'], ['6:13']], 'Polar_expression': [['обвинен'], ['177:184']], 'Polarity': 'NEG'}",NULL,Митаеву,обвинен,NEG
Президенту Бразилии Дилме Руссефф грозит импичмент,"{'Source': [['NULL'], ['0:0']], 'Target': [['Дилме Руссефф'], ['20:33']], 'Polar_expression': [['импичмент'], ['41:50']], 'Polarity': 'NEG'}",NULL,Дилме Руссефф,импичмент,NEG
Дилма Руссефф и Патриарх Кирилл 16 февраля 2016 года,"{'Source': [['NULL'], ['0:0']], 'Target': [['NULL'], ['0:0']], 'Polar_expression': [['NULL'], ['0:0']], 'Polarity': 'NONE'}",NULL,NULL,NULL,NONE
